ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
F446,Dissociative anaesthesia and sensory loss,Dissociative anaesthesia and sensory loss,Dissociative anaesthesia and sensory loss,Dissociative anaesthesia and sensory loss,Anestesia e perda sensorial dissociativas,F44.6 Anestesia e perda sensorial dissociativas
F447,Mixed dissociative [conversion] disorders,Mixed dissociative [conversion] disorders,Mixed dissociative [conversion] disorders,Mixed dissociative [conversion] disorders,Transtorno dissociativo misto [de conversão],F44.7 Transt dissociativo misto
F448,Other dissociative [conversion] disorders,Other dissociative [conversion] disorders,Other dissociative [conversion] disorders,Other dissociative [conversion] disorders,Outros transtornos dissociativos [de conversão],F44.8 Outr transt dissociativos
F449,"Dissociative [conversion] disorder, unspecified","Dissociative [conversion] disorder, unspecified","Dissociative [conversion] disorder, unspecified","Dissociative [conversion] disorder, unspecified",Transtorno dissociativo [de conversão] não especificado,F44.9 Transt dissociativo NE
F45,Somatoform disorders,Somatoform disorders,Somatoform disorders,Somatoform disorders,Transtornos somatoformes,F45   Transt somatoformes
F450,Somatization disorder,Somatization disorder,Somatization disorder,Somatization disorder,Transtorno de somatização,F45.0 Transt de somatizacao
F451,Undifferentiated somatoform disorder,Undifferentiated somatoform disorder,Undifferentiated somatoform disorder,Undifferentiated somatoform disorder,Transtorno somatoforme indiferenciado,F45.1 Transt somatoforme indiferenciado
F452,Hypochondriacal disorder,Hypochondriacal disorder,Hypochondriacal disorder,Hypochondriacal disorder,Transtorno hipocondríaco,F45.2 Transt hipocondriaco
F453,Somatoform autonomic dysfunction,Somatoform autonomic dysfunction,Somatoform autonomic dysfunction,Somatoform autonomic dysfunction,Transtorno neurovegetativo somatoforme,F45.3 Transt neurovegetativo somatoforme
F454,Persistent somatoform pain disorder,Persistent somatoform pain disorder,Persistent somatoform pain disorder,Persistent somatoform pain disorder,Transtorno doloroso somatoforme persistente,F45.4 Transt doloroso somatoforme persistente
F458,Other somatoform disorders,Other somatoform disorders,Other somatoform disorders,Other somatoform disorders,Outros transtornos somatoformes,F45.8 Outr transt somatoformes
F459,"Somatoform disorder, unspecified","Somatoform disorder, unspecified","Somatoform disorder, unspecified","Somatoform disorder, unspecified",Transtorno somatoforme não especificado,F45.9 Transt somatoforme NE
F48,Other neurotic disorders,Other neurotic disorders,Other neurotic disorders,Other neurotic disorders,Outros transtornos neuróticos,F48   Outr transt neuroticos
F480,Neurasthenia,Neurasthenia,Neurasthenia,Neurasthenia,Neurastenia,F48.0 Neurastenia
F481,Depersonalization-derealization syndrome,Depersonalization-derealization syndrome,Depersonalization-derealization syndrome,Depersonalization-derealization syndrome,Síndrome de despersonalização-desrealização,F48.1 Sindr de despersonalizacao-desrealizacao
F488,Other specified neurotic disorders,Other specified neurotic disorders,Other specified neurotic disorders,Other specified neurotic disorders,Outros transtornos neuróticos especificados,F48.8 Outr transt neuroticos espec
F489,"Neurotic disorder, unspecified","Neurotic disorder, unspecified","Neurotic disorder, unspecified","Neurotic disorder, unspecified",Transtorno neurótico não especificado,F48.9 Transt neurotico NE
F50,Eating disorders,Eating disorders,Eating disorders,Eating disorders,Transtornos da alimentação,F50   Transt da alimentacao
F500,Anorexia nervosa,Anorexia nervosa,Anorexia nervosa,Anorexia nervosa,Anorexia nervosa,F50.0 Anorexia nervosa
F501,Atypical anorexia nervosa,Atypical anorexia nervosa,Atypical anorexia nervosa,Atypical anorexia nervosa,Anorexia nervosa atípica,F50.1 Anorexia nervosa atipica
F502,Bulimia nervosa,Bulimia nervosa,Bulimia nervosa,Bulimia nervosa,Bulimia nervosa,F50.2 Bulimia nervosa
F503,Atypical bulimia nervosa,Atypical bulimia nervosa,Atypical bulimia nervosa,Atypical bulimia nervosa,Bulimia nervosa atípica,F50.3 Bulimia nervosa atipica
F504,Overeating associated with other psychological disturbances,Overeating associated with other psychological disturbances,Overeating associated with other psychological disturbances,Overeating associated with other psychological disturbances,Hiperfagia associada a outros distúrbios psicológicos,F50.4 Hiperfagia assoc outr disturb psicologicos
F505,Vomiting associated with other psychological disturbances,Vomiting associated with other psychological disturbances,Vomiting associated with other psychological disturbances,Vomiting associated with other psychological disturbances,Vômitos associados a outros distúrbios psicológicos,F50.5 Vomitos assoc a outr disturbios psicologicos
F508,Other eating disorders,Other eating disorders,Other eating disorders,Other eating disorders,Outros transtornos da alimentação,F50.8 Outr transt da alimentacao
F509,"Eating disorder, unspecified","Eating disorder, unspecified","Eating disorder, unspecified","Eating disorder, unspecified",Transtorno de alimentação não especificado,F50.9 Transt de alimentacao NE
F51,Nonorganic sleep disorders,Nonorganic sleep disorders,Nonorganic sleep disorders,Nonorganic sleep disorders,Transtornos não-orgânicos do sono devidos a fatores emocionais,F51   Transt nao-organicos sono dev fat emocionais
F510,Nonorganic insomnia,Nonorganic insomnia,Nonorganic insomnia,Nonorganic insomnia,Insônia não-orgânica,F51.0 Insonia nao-organica
F511,Nonorganic hypersomnia,Nonorganic hypersomnia,Nonorganic hypersomnia,Nonorganic hypersomnia,Hipersonia não-orgânica,F51.1 Hipersonia nao-organica
F512,Nonorganic disorder of the sleep-wake schedule,Nonorganic disorder of the sleep-wake schedule,Nonorganic disorder of the sleep-wake schedule,Nonorganic disorder of the sleep-wake schedule,Transtorno do ciclo vigília-sono devido a fatores não-orgânicos,F51.2 Transt ciclo vigilia-sono dev fat nao-organ
F513,Sleepwalking [somnambulism],Sleepwalking [somnambulism],Sleepwalking [somnambulism],Sleepwalking [somnambulism],Sonambulismo,F51.3 Sonambulismo
F514,Sleep terrors [night terrors],Sleep terrors [night terrors],Sleep terrors [night terrors],Sleep terrors [night terrors],Terrores noturnos,F51.4 Terrores noturnos
F515,Nightmares,Nightmares,Nightmares,Nightmares,Pesadelos,F51.5 Pesadelos
F518,Other nonorganic sleep disorders,Other nonorganic sleep disorders,Other nonorganic sleep disorders,Other nonorganic sleep disorders,Outros transtornos do sono devidos a fatores não-orgânicos,F51.8 Outr transt do sono dev fat nao-organicos
F519,"Nonorganic sleep disorder, unspecified","Nonorganic sleep disorder, unspecified","Nonorganic sleep disorder, unspecified","Nonorganic sleep disorder, unspecified",Transtorno do sono devido a fatores não-orgânicos não especificados,F51.9 Transt do sono dev fatores nao-organicos NE
F52,"Sexual dysfunction, not caused by organic disorder or disease","Sexual dysfunction, not caused by organic disorder or disease","Sexual dysfunction, not caused by organic disorder or disease","Sexual dysfunction, not caused by organic disorder or disease","Disfunção sexual, não causada por transtorno ou doença orgânica",F52   Disfuncao sexual n caus p/transt doenc organ
F520,Lack or loss of sexual desire,Lack or loss of sexual desire,Lack or loss of sexual desire,Lack or loss of sexual desire,Ausência ou perda do desejo sexual,F52.0 Ausencia ou perda do desejo sexual
F521,Sexual aversion and lack of sexual enjoyment,Sexual aversion and lack of sexual enjoyment,Sexual aversion and lack of sexual enjoyment,Sexual aversion and lack of sexual enjoyment,Aversão sexual e ausência de prazer sexual,F52.1 Aversao sexual e ausencia de prazer sexual
F522,Failure of genital response,Failure of genital response,Failure of genital response,Failure of genital response,Falha de resposta genital,F52.2 Falha de resposta genital
F523,Orgasmic dysfunction,Orgasmic dysfunction,Orgasmic dysfunction,Orgasmic dysfunction,Disfunção orgásmica,F52.3 Disfuncao orgasmica
F524,Premature ejaculation,Premature ejaculation,Premature ejaculation,Premature ejaculation,Ejaculação precoce,F52.4 Ejaculacao precoce
F525,Nonorganic vaginismus,Nonorganic vaginismus,Nonorganic vaginismus,Nonorganic vaginismus,Vaginismo não-orgânico,F52.5 Vaginismo nao-organico
F526,Nonorganic dyspareunia,Nonorganic dyspareunia,Nonorganic dyspareunia,Nonorganic dyspareunia,Dispareunia não-orgânica,F52.6 Dispareunia nao-organica
F527,Excessive sexual drive,Excessive sexual drive,Excessive sexual drive,Excessive sexual drive,Apetite sexual excessivo,F52.7 Apetite sexual excessivo
F528,"Other sexual dysfunction, not caused by organic disorder or disease","Other sexual dysfunction, not caused by organic disorder or disease","Other sexual dysfunction, not caused by organic disorder or disease","Other sexual dysfunction, not caused by organic disorder or disease",Outras disfunções sexuais não devidas a transtorno ou à doença orgânica,F52.8 Outr disfunc sex n dev transt doenc organ
F529,"Unspecified sexual dysfunction, not caused by organic disorder or disease","Unspecified sexual dysfunction, not caused by organic disorder or disease","Unspecified sexual dysfunction, not caused by organic disorder or disease","Unspecified sexual dysfunction, not caused by organic disorder or disease","Disfunção sexual não devida a transtorno ou à doença orgânica, não especificada",F52.9 Disfuncao sexual n dev transt doenc organ NE
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mental and behavioural disorders associated with the puerperium, not elsewhere classified","Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte",F53   Transt mentais comport assoc puerperio NCOP
F530,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",Transtornos mentais e comportamentais leves associados ao puerpério não classificados em outra parte,F53.0 Transt ment comport leves assoc puerp NCOP
F531,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified","Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified","Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified","Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",Transtornos mentais e comportamentais graves associados ao puerpério não classificados em outra parte,F53.1 Transt ment comport graves assoc puerp NCOP
F538,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",Outros transtornos mentais e comportamentais associados ao puerpério não classificados em outra parte,F53.8 Outr transt mentais comport assoc puerp NCOP
F539,"Puerperal mental disorder, unspecified","Puerperal mental disorder, unspecified","Puerperal mental disorder, unspecified","Puerperal mental disorder, unspecified","Transtorno mental e comportamental associado ao puerpério, não especificado",F53.9 Transt mental e comport assoc puerperio NE
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte,F54   Fat psicolog comport assoc doenc transt COP
F55,Abuse of non-dependence-producing substances,Abuse of non-dependence-producing substances,Abuse of non-dependence-producing substances,Abuse of non-dependence-producing substances,Abuso de substâncias que não produzem dependência,F55   Abuso de subst que nao produzem dependencia
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,"Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas",F59   Sindr comp ass trans func fisio fat fisic NE
F60,Specific personality disorders,Specific personality disorders,Specific personality disorders,Specific personality disorders,Transtornos específicos da personalidade,F60   Transt especificos da personalidade
F600,Paranoid personality disorder,Paranoid personality disorder,Paranoid personality disorder,Paranoid personality disorder,Personalidade paranóica,F60.0 Personalidade paranoica
F601,Schizoid personality disorder,Schizoid personality disorder,Schizoid personality disorder,Schizoid personality disorder,Personalidade esquizóide,F60.1 Personalidade esquizoide
F602,Dissocial personality disorder,Dissocial personality disorder,Dissocial personality disorder,Dissocial personality disorder,Personalidade dissocial,F60.2 Personalidade dissocial
F603,Emotionally unstable personality disorder,Emotionally unstable personality disorder,Emotionally unstable personality disorder,Emotionally unstable personality disorder,Transtorno de personalidade com instabilidade emocional,F60.3 Transt de personalidade c/instab emocional
F604,Histrionic personality disorder,Histrionic personality disorder,Histrionic personality disorder,Histrionic personality disorder,Personalidade histriônica,F60.4 Personalidade histrionica
F605,Anankastic personality disorder,Anankastic personality disorder,Anankastic personality disorder,Anankastic personality disorder,Personalidade anancástica,F60.5 Personalidade anancastica
F606,Anxious [avoidant] personality disorder,Anxious [avoidant] personality disorder,Anxious [avoidant] personality disorder,Anxious [avoidant] personality disorder,Personalidade ansiosa [esquiva],F60.6 Personalidade ansiosa
F607,Dependent personality disorder,Dependent personality disorder,Dependent personality disorder,Dependent personality disorder,Personalidade dependente,F60.7 Personalidade dependente
F608,Other specific personality disorders,Other specific personality disorders,Other specific personality disorders,Other specific personality disorders,Outros transtornos específicos da personalidade,F60.8 Outr transt especificos da personalidade
F609,"Personality disorder, unspecified","Personality disorder, unspecified","Personality disorder, unspecified","Personality disorder, unspecified",Transtorno não especificado da personalidade,F60.9 Transt NE da personalidade
F61,Mixed and other personality disorders,Mixed and other personality disorders,Mixed and other personality disorders,Mixed and other personality disorders,Transtornos mistos da personalidade e outros transtornos da personalidade,F61   Transt mistos personal outr transt personal
F62,"Enduring personality changes, not attributable to brain damage and disease","Enduring personality changes, not attributable to brain damage and disease","Enduring personality changes, not attributable to brain damage and disease","Enduring personality changes, not attributable to brain damage and disease",Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral,F62   Modif durad pers n atrib lesao doenc cerebr
F620,Enduring personality change after catastrophic experience,Enduring personality change after catastrophic experience,Enduring personality change after catastrophic experience,Enduring personality change after catastrophic experience,Modificação duradoura da personalidade após uma experiência catastrófica,F62.0 Modif durad personalid apos exper catastr
F621,Enduring personality change after psychiatric illness,Enduring personality change after psychiatric illness,Enduring personality change after psychiatric illness,Enduring personality change after psychiatric illness,Modificação duradoura da personalidade após doença psiquiátrica,F62.1 Modif durad personalid apos doenc psiquiatr
F628,Other enduring personality changes,Other enduring personality changes,Other enduring personality changes,Other enduring personality changes,Outras modificações duradouras da personalidade,F62.8 Outr modificacoes duradouras personalidade
F629,"Enduring personality change, unspecified","Enduring personality change, unspecified","Enduring personality change, unspecified","Enduring personality change, unspecified","Modificação duradoura da personalidade, não especificada",F62.9 Modificacao duradoura da personalidade NE
F63,Habit and impulse disorders,Habit and impulse disorders,Habit and impulse disorders,Habit and impulse disorders,Transtornos dos hábitos e dos impulsos,F63   Transt dos habitos e dos impulsos
F630,Pathological gambling,Pathological gambling,Pathological gambling,Pathological gambling,Jogo patológico,F63.0 Jogo patologico
F631,Pathological fire-setting [pyromania],Pathological fire-setting [pyromania],Pathological fire-setting [pyromania],Pathological fire-setting [pyromania],Piromania,F63.1 Piromania
F632,Pathological stealing [kleptomania],Pathological stealing [kleptomania],Pathological stealing [kleptomania],Pathological stealing [kleptomania],Roubo patológico [cleptomania],F63.2 Roubo patologico
F633,Trichotillomania,Trichotillomania,Trichotillomania,Trichotillomania,Tricotilomania,F63.3 Tricotilomania
F638,Other habit and impulse disorders,Other habit and impulse disorders,Other habit and impulse disorders,Other habit and impulse disorders,Outros transtornos dos hábitos e dos impulsos,F63.8 Outr transt dos habitos e dos impulsos
F639,"Habit and impulse disorder, unspecified","Habit and impulse disorder, unspecified","Habit and impulse disorder, unspecified","Habit and impulse disorder, unspecified","Transtorno dos hábitos e impulsos, não especificado",F63.9 Transt dos habitos e impulsos NE
F64,Gender identity disorders,Gender identity disorders,Gender identity disorders,Gender identity disorders,Transtornos da identidade sexual,F64   Transt da identidade sexual
F640,Transsexualism,Transsexualism,Transsexualism,Transsexualism,Transexualismo,F64.0 Transexualismo
F641,Dual-role transvestism,Dual-role transvestism,Dual-role transvestism,Dual-role transvestism,Travestismo bivalente,F64.1 Travestismo bivalente
F642,Gender identity disorder of childhood,Gender identity disorder of childhood,Gender identity disorder of childhood,Gender identity disorder of childhood,Transtorno de identidade sexual na infância,F64.2 Transt de identidade sexual na infancia
F648,Other gender identity disorders,Other gender identity disorders,Other gender identity disorders,Other gender identity disorders,Outros transtornos da identidade sexual,F64.8 Outr transt da identidade sexual
F649,"Gender identity disorder, unspecified","Gender identity disorder, unspecified","Gender identity disorder, unspecified","Gender identity disorder, unspecified",Transtorno não especificado da identidade sexual,F64.9 Transt NE da identidade sexual
F65,Disorders of sexual preference,Disorders of sexual preference,Disorders of sexual preference,Disorders of sexual preference,Transtornos da preferência sexual,F65   Transt da preferencia sexual
F650,Fetishism,Fetishism,Fetishism,Fetishism,Fetichismo,F65.0 Fetichismo
F651,Fetishistic transvestism,Fetishistic transvestism,Fetishistic transvestism,Fetishistic transvestism,Travestismo fetichista,F65.1 Travestismo fetichista
F652,Exhibitionism,Exhibitionism,Exhibitionism,Exhibitionism,Exibicionismo,F65.2 Exibicionismo
F653,Voyeurism,Voyeurism,Voyeurism,Voyeurism,Voyeurismo,F65.3 Voyeurismo
F654,Paedophilia,Paedophilia,Paedophilia,Paedophilia,Pedofilia,F65.4 Pedofilia
F655,Sadomasochism,Sadomasochism,Sadomasochism,Sadomasochism,Sadomasoquismo,F65.5 Sadomasoquismo
F656,Multiple disorders of sexual preference,Multiple disorders of sexual preference,Multiple disorders of sexual preference,Multiple disorders of sexual preference,Transtornos múltiplos da preferência sexual,F65.6 Transt mult da preferencia sexual
F658,Other disorders of sexual preference,Other disorders of sexual preference,Other disorders of sexual preference,Other disorders of sexual preference,Outros transtornos da preferência sexual,F65.8 Outr transt da preferencia sexual
F659,"Disorder of sexual preference, unspecified","Disorder of sexual preference, unspecified","Disorder of sexual preference, unspecified","Disorder of sexual preference, unspecified","Transtorno da preferência sexual, não especificado",F65.9 Transt da preferencia sexual NE
F66,Psychological and behavioural disorders associated with sexual development and orientation,Psychological and behavioural disorders associated with sexual development and orientation,Psychological and behavioural disorders associated with sexual development and orientation,Psychological and behavioural disorders associated with sexual development and orientation,Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação,F66   Transt psic comp assoc desenv sex e orient
F660,Sexual maturation disorder,Sexual maturation disorder,Sexual maturation disorder,Sexual maturation disorder,Transtorno da maturação sexual,F66.0 Transt da maturacao sexual
F661,Egodystonic sexual orientation,Egodystonic sexual orientation,Egodystonic sexual orientation,Egodystonic sexual orientation,Orientação sexual egodistônica,F66.1 Orientacao sexual egodistonica
F662,Sexual relationship disorder,Sexual relationship disorder,Sexual relationship disorder,Sexual relationship disorder,Transtorno do relacionamento sexual,F66.2 Transt do relacionamento sexual
F668,Other psychosexual development disorders,Other psychosexual development disorders,Other psychosexual development disorders,Other psychosexual development disorders,Outros transtornos do desenvolvimento psicossexual,F66.8 Outr transt do desenvolv psicossexual
F669,"Psychosexual development disorder, unspecified","Psychosexual development disorder, unspecified","Psychosexual development disorder, unspecified","Psychosexual development disorder, unspecified","Transtorno do desenvolvimento sexual, não especificado",F66.9 Transt do desenvolv sexual NE
F68,Other disorders of adult personality and behaviour,Other disorders of adult personality and behaviour,Other disorders of adult personality and behaviour,Other disorders of adult personality and behaviour,Outros transtornos da personalidade e do comportamento do adulto,F68   Outr transt personalidade e comport adulto
F680,Elaboration of physical symptoms for psychological reasons,Elaboration of physical symptoms for psychological reasons,Elaboration of physical symptoms for psychological reasons,Elaboration of physical symptoms for psychological reasons,Sintomas físicos aumentados por fatores psicológicos,F68.0 Sint fisicos aument p/fatores psicologicos
F681,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]","Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]","Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]","Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]","Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas [transtorno fictício]",F68.1 Prod delib ou simul sint incapac fisic psic
F688,Other specified disorders of adult personality and behaviour,Other specified disorders of adult personality and behaviour,Other specified disorders of adult personality and behaviour,Other specified disorders of adult personality and behaviour,Outros transtornos especificados da personalidade e do comportamento do adulto,F68.8 Outr transt espec personal e comport adulto
F69,Unspecified disorder of adult personality and behaviour,Unspecified disorder of adult personality and behaviour,Unspecified disorder of adult personality and behaviour,Unspecified disorder of adult personality and behaviour,"Transtorno da personalidade e do comportamento do adulto, não especificado",F69   Transt personalidade e comport adulto NE
F70,Mild mental retardation,Mild mental retardation,Mild mental retardation,Mild mental retardation,Retardo mental leve,F70   Retardo mental leve
F700,"Mild mental retardation: With the statement of no, or minimal, impairment of behaviour","Mild mental retardation: With the statement of no, or minimal, impairment of behaviour","Mild mental retardation: With the statement of no, or minimal, impairment of behaviour","Mild mental retardation: With the statement of no, or minimal, impairment of behaviour",Retardo mental leve - menção de ausência de ou de comprometimento mínimo do comportamento,F70.0 Mencao ausencia de ou compr minimo comport
F701,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment,Mild mental retardation: Significant impairment of behaviour requiring attention or treatment,"Retardo mental leve - comprometimento significativo do comportamento, requerendo vigilância ou tratamento",F70.1 Compr signif comport req vigilancia ou trat
F708,Mild mental retardation: Other impairments of behaviour,Mild mental retardation: Other impairments of behaviour,Mild mental retardation: Other impairments of behaviour,Mild mental retardation: Other impairments of behaviour,Retardo mental leve - outros comprometimentos do comportamento,F70.8 Outr comprometimentos do comport
F709,Mild mental retardation: Without mention of impairment of behaviour,Mild mental retardation: Without mention of impairment of behaviour,Mild mental retardation: Without mention of impairment of behaviour,Mild mental retardation: Without mention of impairment of behaviour,Retardo mental leve - sem menção de comprometimento do comportamento,F70.9 S/mencao de compr do comport
F71,Moderate mental retardation,Moderate mental retardation,Moderate mental retardation,Moderate mental retardation,Retardo mental moderado,F71   Retardo mental moderado
F710,"Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour","Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour","Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour","Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour",Retardo mental moderado - menção de ausência de ou de comprometimento mínimo do comportamento,F71.0 Mencao ausencia de ou compr minimo comport
F711,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment,Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment,"Retardo mental moderado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento",F71.1 Compr signif comport req vigilancia ou trat
F718,Moderate mental retardation: Other impairments of behaviour,Moderate mental retardation: Other impairments of behaviour,Moderate mental retardation: Other impairments of behaviour,Moderate mental retardation: Other impairments of behaviour,Retardo mental moderado - outros comprometimentos do comportamento,F71.8 Outr comprometimentos do comport
F719,Moderate mental retardation: Without mention of impairment of behaviour,Moderate mental retardation: Without mention of impairment of behaviour,Moderate mental retardation: Without mention of impairment of behaviour,Moderate mental retardation: Without mention of impairment of behaviour,Retardo mental moderado - sem menção de comprometimento do comportamento,F71.9 S/mencao de compr do comport
F72,Severe mental retardation,Severe mental retardation,Severe mental retardation,Severe mental retardation,Retardo mental grave,F72   Retardo mental grave
F720,"Severe mental retardation: With the statement of no, or minimal, impairment of behaviour","Severe mental retardation: With the statement of no, or minimal, impairment of behaviour","Severe mental retardation: With the statement of no, or minimal, impairment of behaviour","Severe mental retardation: With the statement of no, or minimal, impairment of behaviour",Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento,F72.0 Mencao ausencia de ou compr minimo comport
F721,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment,Severe mental retardation: Significant impairment of behaviour requiring attention or treatment,"Retardo mental grave - comprometimento significativo do comportamento, requerendo vigilância ou tratamento",F72.1 Compr signif comport req vigilancia ou trat
F728,Severe mental retardation: Other impairments of behaviour,Severe mental retardation: Other impairments of behaviour,Severe mental retardation: Other impairments of behaviour,Severe mental retardation: Other impairments of behaviour,Retardo mental grave - outros comprometimentos do comportamento,F72.8 Outr comprometimentos do comport
F729,Severe mental retardation: Without mention of impairment of behaviour,Severe mental retardation: Without mention of impairment of behaviour,Severe mental retardation: Without mention of impairment of behaviour,Severe mental retardation: Without mention of impairment of behaviour,Retardo mental grave - sem menção de comprometimento do comportamento,F72.9 S/mencao de compr do comport
F73,Profound mental retardation,Profound mental retardation,Profound mental retardation,Profound mental retardation,Retardo mental profundo,F73   Retardo mental profundo
F730,"Profound mental retardation: With the statement of no, or minimal, impairment of behaviour","Profound mental retardation: With the statement of no, or minimal, impairment of behaviour","Profound mental retardation: With the statement of no, or minimal, impairment of behaviour","Profound mental retardation: With the statement of no, or minimal, impairment of behaviour",Retardo mental profundo - menção de ausência de ou de comprometimento mínimo do comportamento,F73.0 Mencao ausencia de ou compr minimo comport
F731,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment,Profound mental retardation: Significant impairment of behaviour requiring attention or treatment,"Retardo mental profundo - comprometimento significativo do comportamento, requerendo vigilância ou tratamento",F73.1 Compr signif comport req vigilancia ou trat
F738,Profound mental retardation: Other impairments of behaviour,Profound mental retardation: Other impairments of behaviour,Profound mental retardation: Other impairments of behaviour,Profound mental retardation: Other impairments of behaviour,Retardo mental profundo - outros comprometimentos do comportamento,F73.8 Outr comprometimentos do comport
F739,Profound mental retardation: Without mention of impairment of behaviour,Profound mental retardation: Without mention of impairment of behaviour,Profound mental retardation: Without mention of impairment of behaviour,Profound mental retardation: Without mention of impairment of behaviour,Retardo mental profundo - sem menção de comprometimento do comportamento,F73.9 S/mencao de compr do comport
F78,Other mental retardation,Other mental retardation,Other mental retardation,Other mental retardation,Outro retardo mental,F78   Outr retardo mental
F780,"Other mental retardation: With the statement of no, or minimal, impairment of behaviour","Other mental retardation: With the statement of no, or minimal, impairment of behaviour","Other mental retardation: With the statement of no, or minimal, impairment of behaviour","Other mental retardation: With the statement of no, or minimal, impairment of behaviour",Outro retardo mental - menção de ausência de ou de comprometimento mínimo do comportamento,F78.0 Mencao ausencia de ou compr minimo comport
F781,Other mental retardation: Significant impairment of behaviour requiring attention or treatment,Other mental retardation: Significant impairment of behaviour requiring attention or treatment,Other mental retardation: Significant impairment of behaviour requiring attention or treatment,Other mental retardation: Significant impairment of behaviour requiring attention or treatment,"Outro retardo mental - comprometimento significativo do comportamento, requerendo vigilância ou tratamento",F78.1 Compr signif comport req vigilancia ou trat
F788,Other mental retardation: Other impairments of behaviour,Other mental retardation: Other impairments of behaviour,Other mental retardation: Other impairments of behaviour,Other mental retardation: Other impairments of behaviour,Outro retardo mental - outros comprometimentos do comportamento,F78.8 Outr comprometimentos do comport
F789,Other mental retardation: Without mention of impairment of behaviour,Other mental retardation: Without mention of impairment of behaviour,Other mental retardation: Without mention of impairment of behaviour,Other mental retardation: Without mention of impairment of behaviour,Outro retardo mental - sem menção de comprometimento do comportamento,F78.9 S/mencao de compr do comport
F79,Unspecified mental retardation,Unspecified mental retardation,Unspecified mental retardation,Unspecified mental retardation,Retardo mental não especificado,F79   Retardo mental NE
F790,"Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour","Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour","Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour","Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour",Retardo mental não especificado - menção de ausência de ou de comprometimento mínimo do comportamento,F79.0 Mencao ausencia de ou compr minimo comport
